vectorizer,dimensions,classifier,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,50,None,cnn,52.0488295,59.171497699999996,0.9657953281423804,0.9609768378650554,0.9469114363681469,0.9538922903911033
Pt-BR_Word2Vec,50,None,cnn,55.5411935,69.8551129,0.9648683722654802,0.9528769841269841,0.953113371371868,0.952995163090661
Pt-BR_Word2Vec,50,None,cnn,56.013683000000015,61.071097500000036,0.9652391546162402,0.9542743538767395,0.9526172165715703,0.9534450651769087
Pt-BR_Word2Vec,50,None,cnn,52.497459400000025,65.6990164,0.9659807193177605,0.9596086302057201,0.9488960555693376,0.9542222776599726
Pt-BR_Word2Vec,50,None,cnn,52.22678540000004,59.11288160000004,0.9659807193177605,0.9570858283433133,0.9516249069709749,0.9543475556661276
Pt-BR_Word2Vec,100,None,cnn,97.63064779999999,72.6452612,0.9675565443084909,0.9618569636135508,0.9508806747705284,0.9563373253493014
Pt-BR_Word2Vec,100,None,cnn,98.08507380000003,74.15753940000002,0.9680200222469411,0.958914342629482,0.9553460679732076,0.957126879582453
Pt-BR_Word2Vec,100,None,cnn,97.94556940000007,74.03664490000006,0.9675565443084909,0.962088877730354,0.9506325973703795,0.956326428749688
Pt-BR_Word2Vec,100,None,cnn,97.80056810000008,74.5768994,0.9684835001853912,0.9603392367173859,0.9550979905730588,0.9577114427860698
Pt-BR_Word2Vec,100,None,cnn,98.1158226,74.7557812,0.9684835001853912,0.9694734164334775,0.9454229719672538,0.9572971615172067
Pt-BR_Word2Vec,300,None,cnn,272.74332029999994,136.53176009999993,0.968112717834631,0.9656478908815357,0.9483999007690399,0.9569461827284105
Pt-BR_Word2Vec,300,None,cnn,275.46364370000015,142.1694476,0.9682981090100111,0.967316949581961,0.9471595137682957,0.9571321133116069
Pt-BR_Word2Vec,300,None,cnn,276.6064320999999,142.79116179999983,0.9688542825361512,0.9571888146498392,0.959563383775738,0.9583746283448961
Pt-BR_Word2Vec,300,None,cnn,274.6356131999996,142.2676730000003,0.9685761957730812,0.9633534136546185,0.9521210617712726,0.9577043044291952
Pt-BR_Word2Vec,300,None,cnn,277.0070504,142.49679739999965,0.9680200222469411,0.9602897102897103,0.9538576035723145,0.9570628500311138
Pt-BR_Word2Vec,600,None,cnn,534.6056003,237.62057700000014,0.9683908045977011,0.9560059317844785,0.959563383775738,0.9577813544632908
Pt-BR_Word2Vec,600,None,cnn,539.4630121999999,246.8989431,0.9687615869484613,0.959910358565737,0.956338377573803,0.9581210388964831
Pt-BR_Word2Vec,600,None,cnn,540.5333425999997,246.7080006999995,0.9691323692992213,0.9629444166249375,0.9541056809724634,0.9585046728971962
Pt-BR_Word2Vec,600,None,cnn,538.8044018,249.07189740000013,0.9685761957730812,0.9612693653173413,0.9543537583726123,0.9577990787999503
Pt-BR_Word2Vec,600,None,cnn,542.9572514000001,252.33529050000016,0.9684835001853912,0.9533284205354949,0.962788389977673,0.9580350530733153
Pt-BR_Word2Vec,1000,None,cnn,889.1158998999999,361.14729480000005,0.9690396737115313,0.9590265706481251,0.9580749193748449,0.9585505088111195
Pt-BR_Word2Vec,1000,None,cnn,895.1714830999999,383.6824746000002,0.9680200222469411,0.9642317380352645,0.9496402877697842,0.956880389951256
Pt-BR_Word2Vec,1000,None,cnn,894.9155703000015,377.34293179999986,0.9690396737115313,0.9592546583850932,0.9578268419746961,0.9585402184707051
Pt-BR_Word2Vec,1000,None,cnn,892.2909594000012,378.2383444999996,0.9693177604746014,0.9631947921882824,0.9543537583726123,0.958753894080997
Pt-BR_Word2Vec,1000,None,cnn,893.3068791000005,375.08636900000056,0.967741935483871,0.9532365247354172,0.9608037707764823,0.9570051890289104
Pt-BR_Word2Vec,50,None,lstm,52.35708339999974,148.72738440000012,0.9659807193177605,0.9654471544715447,0.9426941205656165,0.9539349817999248
Pt-BR_Word2Vec,50,None,lstm,54.655810099999144,173.8005465999995,0.9647756766777902,0.9674775928297055,0.9372364177623419,0.9521169354838709
Pt-BR_Word2Vec,50,None,lstm,53.15413470000021,177.70147499999985,0.9637560252131998,0.9602933737986848,0.9419498883651699,0.9510331872260488
Pt-BR_Word2Vec,50,None,lstm,52.13135140000122,181.8019766999987,0.9645902855024101,0.9603835478173102,0.9441825849665095,0.9522141606204654
Pt-BR_Word2Vec,50,None,lstm,52.33108100000027,180.26123069999994,0.9654245457916203,0.9565651522715926,0.9506325973703795,0.9535896478785617
Pt-BR_Word2Vec,100,None,lstm,97.77065679999987,155.61539429999993,0.967741935483871,0.962107904642409,0.9511287521706773,0.9565868263473054
Pt-BR_Word2Vec,100,None,lstm,97.33036340000035,200.24395340000046,0.9672784575454209,0.9705731832139202,0.9409575787645745,0.9555359617080237
Pt-BR_Word2Vec,100,None,lstm,103.27146989999892,200.94441759999972,0.9682981090100111,0.9677910220644179,0.946663358967998,0.9571106094808126
Pt-BR_Word2Vec,100,None,lstm,98.09835770000063,205.1377717000014,0.9680200222469411,0.9628327473631341,0.9511287521706773,0.9569449644327968
Pt-BR_Word2Vec,100,None,lstm,97.50355449999915,215.32487760000004,0.9667222840192807,0.9645748987854251,0.9456710493674026,0.955029437554804
Pt-BR_Word2Vec,300,None,lstm,274.719431,220.96049919999996,0.9680200222469411,0.9635311871227364,0.9503845199702307,0.9569127013862869
Pt-BR_Word2Vec,300,None,lstm,274.5901178999993,572.3948720000008,0.9664441972562106,0.9666751462732129,0.9426941205656165,0.9545340366742024
Pt-BR_Word2Vec,300,None,lstm,279.1567963999987,637.4092466999973,0.9663515016685206,0.9628975265017667,0.9464152815678492,0.9545852621043412
Pt-BR_Word2Vec,300,None,lstm,277.00684199999887,648.9269792000014,0.9670930663700408,0.951819075712881,0.9605556933763334,0.9561674280775405
Pt-BR_Word2Vec,300,None,lstm,276.5085650000001,647.9582066000003,0.9670003707823508,0.9676762534996183,0.9431902753659142,0.9552763819095478
